City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,Huarmey,-35.1667,173.1667,292.41,74,35,4.74,NZ,2021-04-02 21:21:34
69,Huarmey,63.5671,53.6835,267.78,97,46,1.5,RU,2021-04-02 21:21:34
70,Huarmey,31.6,131.3667,289.15,94,75,5.66,JP,2021-04-02 21:21:35
71,Huarmey,18.8003,110.3967,296.89,95,28,2.8,CN,2021-04-02 21:21:35
72,Huarmey,-46.6,168.3333,281.48,85,90,1.79,NZ,2021-04-02 21:21:35
73,Huarmey,37.062,-97.0384,294.15,23,1,8.23,US,2021-04-02 21:21:35
74,Huarmey,69.4719,25.5112,272.15,100,75,1.54,NO,2021-04-02 21:21:36
75,Huarmey,10.9995,122.6711,296.89,91,91,3.16,PH,2021-04-02 21:17:18
76,Huarmey,62.456,-114.3525,259.82,78,90,3.09,CA,2021-04-02 21:21:25
77,Huarmey,23.2281,110.8261,297.37,74,2,0.66,CN,2021-04-02 21:21:36
78,Huarmey,60.9167,-46.05,276.15,81,75,2.0,GL,2021-04-02 21:21:37
79,Huarmey,59.7,150.1667,258.51,75,36,2.82,RU,2021-04-02 21:21:37
80,Huarmey,-8.19,114.9675,299.15,94,20,1.54,ID,2021-04-02 21:21:37
81,Huarmey,-28.24,-48.6703,296.15,78,75,4.12,BR,2021-04-02 21:21:38
82,Huarmey,28.8184,115.4327,289.07,93,100,2.24,CN,2021-04-02 21:21:38
83,Huarmey,41.1667,-4.0,284.26,86,99,1.82,ES,2021-04-02 21:21:38
84,Huarmey,44.7749,-117.8344,295.15,16,1,5.66,US,2021-04-02 21:21:38
85,Huarmey,3.1191,35.5973,303.61,43,51,2.75,KE,2021-04-02 21:21:39
86,Huarmey,71.9667,102.5,236.77,98,7,2.08,RU,2021-04-02 21:21:39
87,Huarmey,30.15,62.6,295.58,20,1,0.19,AF,2021-04-02 21:21:39
88,Huarmey,2.7746,32.299,294.31,79,98,1.03,UG,2021-04-02 21:21:40
89,Huarmey,70.3705,31.1107,273.07,73,98,3.29,NO,2021-04-02 21:16:40
90,Huarmey,-6.8367,-79.9342,299.15,53,0,9.77,PE,2021-04-02 21:21:27
91,Huarmey,-35.35,150.4667,289.26,88,2,5.14,AU,2021-04-02 21:21:40
92,Huarmey,-20.0064,57.6608,298.15,84,3,0.89,MU,2021-04-02 21:21:17
93,Huarmey,72.7868,-56.1549,248.84,94,100,5.46,GL,2021-04-02 21:21:06
94,Huarmey,-20.3428,57.7575,298.15,100,40,1.54,MU,2021-04-02 21:21:41
95,Huarmey,28.9611,-13.645,292.15,68,20,5.14,ES,2021-04-02 21:21:41
96,Huarmey,69.4541,-133.0374,247.15,70,75,3.09,CA,2021-04-02 21:20:44
97,Huarmey,14.905,-12.4568,307.42,6,4,3.39,SN,2021-04-02 21:21:42
98,Huarmey,-27.4524,23.4325,292.59,66,54,3.5,ZA,2021-04-02 21:21:42
99,Huarmey,-33.918,25.5701,288.15,82,20,3.6,ZA,2021-04-02 21:21:42
100,Huarmey,62.0989,126.6992,241.9,100,95,1.54,RU,2021-04-02 21:21:43
101,Huarmey,-18.2494,-43.6003,292.9,81,56,1.98,BR,2021-04-02 21:21:43
102,Huarmey,-33.5906,26.891,289.74,82,30,5.61,ZA,2021-04-02 21:21:43
103,Huarmey,-0.8833,131.25,300.09,78,100,1.38,ID,2021-04-02 21:21:43
104,Huarmey,48.7555,-91.6216,282.07,45,100,5.94,CA,2021-04-02 21:21:44
105,Huarmey,35.7333,140.8333,284.15,82,20,1.54,JP,2021-04-02 21:17:16
106,Huarmey,46.7208,-92.1041,286.15,26,1,8.75,US,2021-04-02 21:21:44
107,Huarmey,-24.7911,-50.0119,290.57,74,6,2.28,BR,2021-04-02 21:21:08
108,Huarmey,25.5198,90.2201,294.64,44,0,2.3,IN,2021-04-02 21:21:45
109,Huarmey,-22.0016,148.0466,292.34,75,7,8.2,AU,2021-04-02 21:21:45
110,Huarmey,4.9333,-52.3333,298.15,88,0,3.6,GF,2021-04-02 21:21:45
111,Huarmey,68.0546,166.4372,253.37,85,100,2.99,RU,2021-04-02 21:21:46
112,Huarmey,43.2128,-75.4557,275.37,32,1,7.72,US,2021-04-02 21:18:03
113,Huarmey,65.282,-126.8329,258.15,66,75,1.03,CA,2021-04-02 21:21:14
114,Huarmey,78.2186,15.6401,267.15,73,75,5.66,SJ,2021-04-02 21:21:46
115,Huarmey,67.45,153.6833,245.47,99,91,1.3,RU,2021-04-02 21:21:46
116,Huarmey,43.7129,39.6049,281.15,87,90,2.0,RU,2021-04-02 21:21:47
117,Huarmey,-45.5752,-72.0662,290.15,51,75,3.09,CL,2021-04-02 21:21:47
118,Huarmey,66.6871,34.3429,269.47,96,84,1.47,RU,2021-04-02 21:21:47
119,Huarmey,-38.0023,-57.5575,293.71,83,40,4.63,AR,2021-04-02 21:19:12
120,Huarmey,63.7506,-68.5145,253.15,65,1,1.54,CA,2021-04-02 21:21:48
121,Huarmey,36.3868,4.3989,287.97,85,46,1.6,DZ,2021-04-02 21:21:48
122,Huarmey,51.6667,135.7,272.39,94,66,3.1,RU,2021-04-02 21:21:48
123,Huarmey,62.5903,40.6066,270.38,97,100,0.5,RU,2021-04-02 21:21:49
124,Huarmey,-33.6971,-53.4616,292.69,69,10,3.52,UY,2021-04-02 21:21:09
125,Huarmey,35.3029,37.1841,281.47,85,7,8.0,SY,2021-04-02 21:18:13
126,Huarmey,71.2906,-156.7887,246.15,69,1,2.57,US,2021-04-02 21:20:06
127,Huarmey,14.9215,-23.5087,298.15,44,0,8.75,CV,2021-04-02 21:21:49
